,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
4878,4878,972719.108,15:22:46:816,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f0360d01e839ef75f5e2275fc1d71dae_1280x1024.jpg
4879,4879,972721.157,15:22:46:818,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8517,28.8517,6.327,28.5727,28.5727,6.3351,969.3862,772.4816,1071.2887,777.4483,White Space,White Space,0.3578,0.1405,-0.9232,0.2931,0.1348,-0.9465,-62.2897,-34.7174,529.7239,-108.9343,-28.0889,529.3386,913.6343,665.59,1126.7247,635.8269,0,-,-,-,-,-,-,-,-
4880,4880,972721.157,15:22:46:818,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8517,28.8517,6.327,28.5727,28.5727,6.3351,969.3862,772.4816,1071.2887,777.4483,White Space,White Space,0.3578,0.1405,-0.9232,0.2931,0.1348,-0.9465,-62.2897,-34.7174,529.7239,-108.9343,-28.0889,529.3386,913.6343,665.59,1126.7247,635.8269,0,-,-,-,-,-,-,-,-
4881,4881,972737.857,15:22:46:835,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8303,28.8303,6.3286,28.7229,28.7229,6.3435,968.9547,773.3795,1072.3076,775.6779,White Space,White Space,0.3551,0.1389,-0.9244,0.2939,0.1411,-0.9454,-62.2993,-34.7651,530.1988,-108.8452,-28.0763,529.0659,913.4919,665.7043,1126.5496,635.6938,0,-,-,-,-,-,-,-,-
4882,4882,972754.557,15:22:46:851,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7529,28.7529,6.3276,28.6196,28.6196,6.3455,968.1836,773.6612,1071.7616,776.5947,White Space,White Space,0.3551,0.1436,-0.9237,0.2885,0.1328,-0.9482,-62.3097,-34.8174,530.6089,-108.7451,-28.0564,528.7283,913.3228,665.7146,1126.5412,635.8696,0,-,-,-,-,-,-,-,-
4883,4883,972771.257,15:22:46:868,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8142,28.8142,6.3299,28.6062,28.6062,6.346,967.7062,774.2069,1070.9197,777.7278,White Space,White Space,0.3546,0.1412,-0.9243,0.2885,0.1328,-0.9482,-62.3347,-34.8494,530.8893,-108.6776,-28.0328,528.4467,913.3027,665.8314,1126.497,635.8297,0,-,-,-,-,-,-,-,-
4884,4884,972787.957,15:22:46:885,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8922,28.8922,6.3359,28.565,28.565,6.3441,968.0555,774.5872,1070.2971,777.9611,White Space,White Space,0.3581,0.1411,-0.923,0.2887,0.1335,-0.9481,-62.3878,-34.8909,531.3349,-108.6172,-28.0088,528.1437,913.2312,665.8892,1126.5006,635.7762,0,-,-,-,-,-,-,-,-
4885,4885,972804.657,15:22:46:902,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7805,28.7805,6.337,28.5642,28.5642,6.3415,967.3425,774.0792,1069.2789,778.7102,White Space,White Space,0.3545,0.1441,-0.9239,0.2866,0.131,-0.9491,-62.4329,-34.9142,531.6535,-108.5333,-27.9651,527.7072,913.3507,665.835,1126.5758,635.7382,0,-,-,-,-,-,-,-,-
4886,4886,972821.357,15:22:46:918,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7736,28.7736,6.3384,28.5978,28.5978,6.3399,966.7018,774.2103,1070.8967,779.7654,White Space,White Space,0.3557,0.1428,-0.9236,0.2935,0.1319,-0.9468,-62.4925,-34.932,531.9887,-108.4859,-27.9325,527.3142,913.4177,665.8472,1126.5623,635.6598,0,-,-,-,-,-,-,-,-
4887,4887,972838.057,15:22:46:935,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8488,28.8488,6.3414,28.5589,28.5589,6.3375,966.6555,774.4805,1068.4429,782.2972,White Space,White Space,0.3588,0.1423,-0.9225,0.2847,0.1295,-0.9498,-62.4729,-34.8877,531.4904,-108.551,-27.9367,527.504,913.5169,665.8012,1126.8922,635.6915,0,-,-,-,-,-,-,-,-
4888,4888,972854.757,15:22:46:952,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7891,28.7891,6.3407,28.5322,28.5322,6.3355,968.1013,774.0828,1069.154,784.0885,White Space,White Space,0.3622,0.1444,-0.9208,0.2886,0.1285,-0.9488,-62.4744,-34.847,531.0837,-108.7059,-27.9625,528.0002,913.6551,665.6882,1127.0428,635.7127,0,-,-,-,-,-,-,-,-
4889,4889,972871.457,15:22:46:968,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8442,28.8442,6.342,28.6143,28.6143,6.338,968.3124,773.5774,1070.0303,783.0046,White Space,White Space,0.3585,0.1429,-0.9225,0.2922,0.1344,-0.9469,-62.5096,-34.8405,530.9742,-108.841,-27.9874,528.3278,913.9579,665.7259,1127.2624,635.6148,0,-,-,-,-,-,-,-,-
4890,4890,972888.157,15:22:46:985,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8627,28.8627,6.3441,28.7183,28.7183,6.3436,967.2881,773.1402,1069.2312,782.9662,White Space,White Space,0.3553,0.1437,-0.9236,0.2907,0.1361,-0.9471,-62.5688,-34.8659,531.071,-108.829,-28.0124,528.0939,914.2483,665.7969,1127.4605,635.7453,0,-,-,-,-,-,-,-,-
4891,4891,972904.857,15:22:47:002,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7192,28.7192,6.3392,28.5208,28.5208,6.3407,967.4684,772.2545,1068.097,782.1426,White Space,White Space,0.3579,0.1449,-0.9224,0.2895,0.1377,-0.9472,-62.6033,-34.8614,530.6877,-108.9298,-28.0602,528.2382,914.544,665.8597,1127.8111,635.894,0,-,-,-,-,-,-,-,-
4892,4892,972921.557,15:22:47:018,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.7494,28.7494,6.3365,28.6391,28.6391,6.3427,968.6679,770.9361,1067.8439,779.5738,White Space,White Space,0.3608,0.146,-0.9212,0.2919,0.1446,-0.9455,-62.6829,-34.8753,530.678,-108.9823,-28.083,528.0398,914.8424,665.8996,1128.1722,635.8902,0,-,-,-,-,-,-,-,-
4893,4893,972938.257,15:22:47:035,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,1,1,28.8263,28.8263,6.3377,28.5611,28.5611,6.3417,968.1269,770.6855,1068.4944,779.6609,White Space,White Space,0.3554,0.1449,-0.9234,0.292,0.1385,-0.9463,-62.7784,-34.8857,530.8557,-109.1044,-28.1142,528.2733,915.3059,665.9232,1128.5107,636.1113,0,-,-,-,-,-,-,-,-
4894,4894,972954.957,15:22:47:052,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Saccade,Fixation,1,1,28.7187,28.7187,6.3337,28.5067,28.5067,6.3391,969.0253,769.9335,1071.8817,780.6951,White Space,White Space,0.3594,0.1453,-0.9218,0.2982,0.1328,-0.9452,-62.8471,-34.8575,530.4874,-109.249,-28.1234,528.4411,915.7177,665.8925,1128.8689,636.2373,0,-,-,-,-,-,-,-,-
4895,4895,972971.657,15:22:47:069,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Saccade,Saccade,1,1,28.6273,28.6273,6.3265,28.6256,28.6256,6.3426,946.4413,694.0102,1036.8707,729.8495,White Space,White Space,0.3342,0.1891,-0.9233,0.2679,0.1704,-0.9483,-63.098,-34.6898,530.358,-109.5402,-28.0515,528.7948,917.4785,664.2075,1130.5429,635.0018,0,-,-,-,-,-,-,-,-
4896,4896,972988.357,15:22:47:085,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Saccade,Saccade,1,1,28.4829,28.4829,6.3142,28.4465,28.4465,6.3389,832.6291,604.8176,922.7403,571.9458,White Space,White Space,0.2975,0.2315,-0.9262,0.2363,0.2335,-0.9432,-63.3724,-34.4233,530.0327,-109.8672,-27.8495,529.0561,919.7102,662.1667,1132.4525,632.6246,0,-,-,-,-,-,-,-,-
4897,4897,973005.057,15:22:47:102,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Saccade,Saccade,1,1,28.2909,28.2909,6.2967,28.4392,28.4392,6.3366,788.2062,525.8771,889.9927,509.2152,White Space,White Space,0.2733,0.2727,-0.9225,0.2194,0.2663,-0.9386,-63.6376,-34.2774,530.1433,-110.1355,-27.7161,529.455,921.3741,660.5589,1133.6453,631.1967,0,-,-,-,-,-,-,-,-
4898,4898,973021.757,15:22:47:119,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,28.4794,28.4794,6.2899,28.172,28.172,6.325,760.6641,463.829,865.6345,433.4316,White Space,White Space,0.2589,0.3064,-0.916,0.2088,0.3013,-0.9304,-63.8204,-34.1329,530.0834,-110.3701,-27.6144,529.9287,922.5317,659.166,1134.4576,629.8421,0,-,-,-,-,-,-,-,-
4899,4899,973038.457,15:22:47:135,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,28.0886,28.0886,6.2681,28.1122,28.1122,6.3137,751.1785,456.2253,864.6598,427.0681,White Space,White Space,0.2556,0.3104,-0.9156,0.2118,0.3041,-0.9288,-63.9429,-34.0746,529.7749,-110.5788,-27.5841,530.2116,923.3255,658.9003,1135.0629,629.5775,0,-,-,-,-,-,-,-,-
4900,4900,973055.157,15:22:47:152,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,28.0796,28.0796,6.2492,27.9927,27.9927,6.3005,740.0889,453.9136,856.818,416.8701,White Space,White Space,0.2481,0.3117,-0.9172,0.2062,0.3135,-0.9269,-63.9695,-34.0189,529.445,-110.7793,-27.5867,530.5583,923.7931,658.7153,1135.7565,629.3014,0,-,-,-,-,-,-,-,-
4901,4901,973071.857,15:22:47:169,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,28.1181,28.1181,6.2346,27.8787,27.8787,6.2855,741.38,451.9039,855.7379,417.172,White Space,White Space,0.2539,0.3128,-0.9153,0.2083,0.3085,-0.9281,-64.0523,-33.9594,529.1265,-110.9383,-27.566,530.7449,924.2081,658.507,1136.2575,629.2795,0,-,-,-,-,-,-,-,-
4902,4902,973088.557,15:22:47:185,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,27.8655,27.8655,6.2121,27.9112,27.9112,6.2749,740.0022,448.3211,854.3564,417.4282,White Space,White Space,0.2535,0.3176,-0.9137,0.2085,0.3069,-0.9286,-64.1038,-33.9288,528.9138,-111.1036,-27.5545,530.8978,924.5613,658.3182,1136.8595,629.2278,0,-,-,-,-,-,-,-,-
4903,4903,973105.257,15:22:47:202,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,27.924,27.924,6.1953,27.7924,27.7924,6.2616,743.4313,445.9284,851.6078,414.261,White Space,White Space,0.2597,0.3182,-0.9118,0.206,0.3127,-0.9272,-64.1726,-33.8846,528.5052,-111.2112,-27.5467,530.9722,924.9529,658.2168,1137.3234,629.0464,0,-,-,-,-,-,-,-,-
4904,4904,973121.957,15:22:47:219,Trial001,1 coucou D.png,0,2889.1,49,MediumSpringGreen,100.0,Eye,Fixation,Fixation,2,2,27.8176,27.8176,6.1769,27.8704,27.8704,6.2533,738.225,445.8531,850.6069,413.4534,White Space,White Space,0.2504,0.3156,-0.9153,0.2071,0.3117,-0.9274,-64.2293,-33.8544,528.3304,-111.2762,-27.5202,530.6816,925.5219,658.191,1137.869,629.0144,0,-,-,-,-,-,-,-,-
